number,company,symbol,ytd_return
263,Extra Space Storage,EXR,1.71
264,A. O. Smith,AOS,1.69
265,Hilton Worldwide,HLT,1.66
266,Lilly (Eli),LLY,1.66
267,Vertex Pharmaceuticals,VRTX,1.48
268,Autodesk,ADSK,1.46
269,Principal Financial Group,PFG,1.25
270,Snap-on,SNA,1.21
271,Wabtec,WAB,1.14
272,Keysight Technologies,KEYS,1.10
273,Lockheed Martin,LMT,1.06
274,United Airlines Holdings,UAL,1.03
275,Costco,COST,1.01
276,Verizon,VZ,0.95
277,Allstate,ALL,0.90
278,Ross Stores,ROST,0.60
279,Williams-Sonoma,WSM,0.44
280,Cintas,CTAS,0.16
281,Broadridge Financial Solutions,BR,0.10
282,PepsiCo,PEP,0.05
283,Delta Air Lines,DAL,-0.29
284,Public Service Enterprise Group,PEG,-0.30
285,Regions Financial Corporation,RF,-0.30
286,Booking Holdings,BKNG,-0.39
287,Moody's Corporation,MCO,-0.41
288,Iron Mountain,IRM,-0.47
289,Darden Restaurants,DRI,-0.48
290,J.B. Hunt,JBHT,-0.72
291,Home Depot (The),HD,-0.73
292,APA Corporation,APA,-0.78
293,Kinder Morgan,KMI,-0.82
294,Veralto,VLTO,-0.83
295,TransDigm Group,TDG,-1.03
296,Domino's,DPZ,-1.05
297,Arthur J. Gallagher & Co.,AJG,-1.29
298,Apple Inc.,AAPL,-1.30
299,Edwards Lifesciences,EW,-1.36
300,Walt Disney Company (The),DIS,-1.37
301,Southwest Airlines,LUV,-1.40
302,Lowe's,LOW,-1.41
303,Match Group,MTCH,-1.79
304,Assurant,AIZ,-1.86
305,KeyCorp,KEY,-1.96
306,Expand Energy,EXE,-2.17
307,Union Pacific Corporation,UNP,-2.33
308,Amazon,AMZN,-2.39
309,Sherwin-Williams,SHW,-2.54
310,Devon Energy,DVN,-2.57
311,CF Industries,CF,-2.61
312,Otis Worldwide,OTIS,-2.75
313,Regency Centers,REG,-2.99
314,Chubb Limited,CB,-3.04
315,News Corp (Class B),NWS,-3.12
316,SBA Communications,SBAC,-3.13
317,Digital Realty,DLR,-3.15
318,Illinois Tool Works,ITW,-3.16
319,Paycom,PAYC,-3.21
320,Gen Digital,GEN,-3.32
321,Roper Technologies,ROP,-3.80
322,Automatic Data Processing,ADP,-4.13
323,MetLife,MET,-4.18
324,U.S. Bancorp,USB,-4.33
325,Las Vegas Sands,LVS,-4.33
326,Lamb Weston,LW,-4.35
327,Aon,AON,-4.47
328,Fifth Third Bancorp,FITB,-4.66
329,Charles River Laboratories,CRL,-4.78
330,Truist Financial,TFC,-4.79
331,M&T Bank,MTB,-5.01
332,S&P Global,SPGI,-5.17
333,Huntington Bancshares,HBAN,-5.29
334,"BXP, Inc.",BXP,-5.33
335,Zimmer Biomet,ZBH,-5.40
336,Elevance Health,ELV,-5.77
337,Motorola Solutions,MSI,-5.89
338,Dayforce,DAY,-5.93
339,News Corp (Class A),NWSA,-5.94
340,Interpublic Group of Companies (The),IPG,-5.94
341,J.M. Smucker Company (The),SJM,-5.98
342,Hologic,HOLX,-6.02
343,Everest Group,EG,-6.17
344,GE HealthCare,GEHC,-6.21
345,Airbnb,ABNB,-6.59
346,Texas Instruments,TXN,-6.59
347,Arch Capital Group,ACGL,-6.64
348,Masco,MAS,-6.74
349,Marriott International,MAR,-6.79
350,Host Hotels & Resorts,HST,-6.85
351,"NVR, Inc.",NVR,-7.02
352,Biogen,BIIB,-7.14
353,PNC Financial Services,PNC,-7.39
354,Progressive Corporation,PGR,-7.77
355,Lennar,LEN,-7.85
356,Starbucks,SBUX,-7.86
357,T. Rowe Price,TROW,-7.90
358,Danaher Corporation,DHR,-8.23
359,Pfizer,PFE,-8.61
360,Kimberly-Clark,KMB,-8.69
361,MGM Resorts,MGM,-8.74
362,Packaging Corporation of America,PKG,-8.79
363,Kimco Realty,KIM,-8.90
364,Healthpeak Properties,DOC,-8.90
365,Blackstone Inc.,BX,-8.91
366,Best Buy,BBY,-9.09
367,Tyson Foods,TSN,-9.43
368,W. W. Grainger,GWW,-9.45
369,Paccar,PCAR,-9.51
370,Essex Property Trust,ESS,-9.72
371,Waters Corporation,WAT,-9.76
372,Synopsys,SNPS,-9.79
373,Paychex,PAYX,-9.80
374,Honeywell,HON,-9.97
375,Henry Schein,HSIC,-10.36
376,Invitation Homes,INVH,-10.51
377,Omnicom Group,OMC,-10.54
378,Procter & Gamble,PG,-10.86
379,Equifax,EFX,-11.06
380,Norwegian Cruise Line Holdings,NCLH,-11.27
381,MSCI,MSCI,-11.31
382,Dover Corporation,DOV,-11.44
383,Coterra,CTRA,-11.61
384,"Nike, Inc.",NKE,-11.65
385,Marsh McLennan,MMC,-11.80
386,"Workday, Inc.",WDAY,-11.85
387,Air Products,APD,-12.17
388,Camden Property Trust,CPT,-12.22
389,"Block, Inc.",XYZ,-12.35
390,Zoetis,ZTS,-12.42
391,Fortinet,FTNT,-12.55
392,ConocoPhillips,COP,-12.60
393,Ameriprise Financial,AMP,-12.72
394,McCormick & Company,MKC,-12.76
395,EOG Resources,EOG,-12.87
396,CDW,CDW,-13.17
397,Cognizant,CTSH,-13.19
398,Ball Corporation,BALL,-13.23
399,Federal Realty Investment Trust,FRT,-13.28
400,International Paper,IP,-13.42
401,Amcor,AMCR,-13.44
402,Builders FirstSource,BLDR,-13.52
403,Tyler Technologies,TYL,-13.86
404,Fortive,FTV,-13.86
405,Diamondback Energy,FANG,-13.88
406,Colgate-Palmolive,CL,-13.96
407,Keurig Dr Pepper,KDP,-14.04
408,Lennox International,LII,-14.09
409,Brown & Brown,BRO,-14.13
410,Equinix,EQIX,-14.16
411,Schlumberger,SLB,-14.28
412,Equity Residential,EQR,-14.56
413,Bio-Techne,TECH,-14.60
